ID,WF-to-POWL converter,Transitions,Labeled Transitions,Places,Arcs,POWL Leaves,WF-to-tree coverter,Size (|Transitions| + |Places|)
724,0.059134483,112,63,98,258,63,2.262854338,210
909,0.105091095,112,65,98,264,65,1.580892086,210
168,0.090063095,114,70,96,258,70,4.019207001,210
123,0.056759357,110,63,101,262,63,4.193959236,211
83,0.036144018,113,69,98,266,69,4.505748034,211
280,0.094331741,118,58,94,266,58,5.297354698,212
164,0.088603497,108,56,105,268,56,7.907262802,213
622,0.090418816,115,66,98,264,66,1.810249567,213
131,0.063998938,117,63,97,266,63,4.8300879,214
188,0.065333605,118,69,96,272,69,4.723571539,214
677,0.061333179,116,78,98,268,78,5.30898571,214
277,0.076262951,120,61,95,264,61,4.883431911,215
661,0.106539488,115,62,100,266,62,2.782902002,215
209,0.070110559,108,65,107,266,65,1.224334955,215
7,0.066000223,115,70,100,274,70,2.114394903,215
411,0.066011906,113,65,103,268,65,4.825629234,216
615,0.074083328,115,65,102,268,65,1.921694279,217
668,0.116584063,114,60,105,266,60,3.328208208,219
895,0.138607264,113,62,106,272,62,2.05643177,219
301,0.20578599,117,63,102,272,63,5.06439805,219
880,0.247493982,120,63,100,266,63,4.25859189,220
16,0.061000586,118,68,102,272,68,2.22465992,220
689,0.224046707,121,68,99,274,68,2.96273303,220
675,0.113183498,116,69,104,270,69,2.999978781,220
952,0.193503141,122,63,99,276,63,8.500942707,221
792,0.067080975,120,66,101,272,66,2.09048295,221
979,0.184765339,117,68,104,274,68,2.134596348,221
998,0.3545084,125,69,96,278,69,2.908618927,221
420,0.069679499,117,72,105,274,72,4.422109127,222
517,0.083782673,120,62,103,280,62,2.852111816,223
61,0.150238752,122,68,101,274,68,5.378643513,223
851,0.184538126,127,64,97,280,64,7.496899128,224
106,0.217003345,117,67,107,282,67,5.933521271,224
291,0.05600071,119,68,105,278,68,6.192500114,224
861,0.225291252,127,62,98,276,62,5.545021534,225
604,0.123021364,118,65,107,282,65,3.014209986,225
119,0.096077681,120,65,105,280,65,5.294339895,225
401,0.116636515,121,67,104,282,67,5.196428537,225
133,0.10057807,127,68,98,278,68,5.190010309,225
99,0.103985548,121,74,104,288,74,4.996558666,225
318,0.161502838,122,59,104,278,59,6.027226448,226
328,0.120100737,121,66,105,286,66,4.170409441,226
532,0.201272488,126,67,100,280,67,2.627815962,226
48,0.071002007,123,71,103,284,71,1.954589844,226
602,0.05620122,125,75,101,282,75,2.003464937,226
872,0.085772276,124,63,104,280,63,6.918983221,228
754,0.095568657,119,64,109,280,64,3.237468004,228
655,0.097283125,131,68,97,288,68,3.562499285,228
